variant,effective_update,raw_action_loss,raw_direction_loss,raw_alignment_loss,weighted_direction_loss,weighted_alignment_loss,learning_rate,lambda_a,lambda_b,gradient_norm_before_clip,gradient_clip_scale,direction_supervised_samples_in_update
sa,66,14.171875,12.484375,,3.7453125,,1.978021828108467e-06,0.3,0.0033000000000000004,19.236724853515625,0.05198390098183705,15
sa,67,15.15625,13.125,,3.9375,,2.0079914975212887e-06,0.3,0.0033500000000000005,21.564754486083984,0.046371963132959056,15
sa,68,14.15625,12.515625,,3.7546874999999997,,2.0379629859235138e-06,0.3,0.0034000000000000002,18.613975524902344,0.05372307482956392,15
sa,69,13.9375,13.375,,4.0125,,2.0679326553363353e-06,0.3,0.0034500000000000004,21.16574478149414,0.047246152229631466,16
sa,70,13.375,11.11328125,,3.333984375,,2.097902324749157e-06,0.3,0.0035000000000000005,19.09041976928711,0.052382294998500334,13
sa,71,14.640625,11.46875,,3.440625,,2.1278719941619784e-06,0.3,0.0035499999999999998,22.621723175048828,0.044205297371111583,14
sa,72,13.328125,13.71875,,4.115625,,2.1578416635748e-06,0.3,0.0036,17.684083938598633,0.0565480238316062,16
sa,73,13.125,11.609375,,3.4828125,,2.187813151977025e-06,0.3,0.00365,17.5545654296875,0.05696523813166258,14
sa,74,12.953125,13.328125,,3.9984374999999996,,2.2177828213898465e-06,0.3,0.0037,18.809476852416992,0.05316468968521585,16
sa,75,14.03125,13.203125,,3.9609375,,2.247752490802668e-06,0.3,0.00375,21.933452606201172,0.045592457236635575,16
sa,76,13.53125,11.5625,,3.46875,,2.2777221602154896e-06,0.3,0.0038,20.070405960083008,0.04982460255108184,14
sa,77,14.078125,12.609375,,3.7828125,,2.307691829628311e-06,0.3,0.00385,19.807714462280273,0.05048538042611098,15
sa,78,13.1875,13.765625,,4.1296875,,2.337663318030536e-06,0.3,0.0039000000000000003,21.339630126953125,0.04686116835441047,16
sa,79,14.375,12.578125,,3.7734375,,2.3676329874433577e-06,0.3,0.00395,21.801300048828125,0.045868824233431554,15
sa,80,13.859375,13.171875,,3.9515624999999996,,2.3976026568561792e-06,0.3,0.004,22.3636531829834,0.0447154135246966,16
sa,81,13.328125,13.5,,4.05,,2.4275723262690008e-06,0.3,0.004050000000000001,20.52960205078125,0.048710150227288265,16
sa,82,14.25,12.390625,,3.7171874999999996,,2.4575419956818223e-06,0.3,0.0041,21.700828552246094,0.0460811898307218,15
sa,83,13.171875,13.34375,,4.003125,,2.4875134840840474e-06,0.3,0.00415,19.73444175720215,0.050672829376338796,16
sa,84,14.3125,13.53125,,4.059375,,2.517483153496869e-06,0.3,0.004200000000000001,21.559593200683594,0.04638306440625665,16
sa,85,13.265625,13.0625,,3.9187499999999997,,2.547451003920287e-06,0.3,0.00425,20.850799560546875,0.04795979152243944,16
sa,86,14.125,13.125,,3.9375,,2.5774206733331084e-06,0.3,0.0043,21.962230682373047,0.04553271543598725,16
sa,87,12.765625,13.390625,,4.0171874999999995,,2.6073921617353335e-06,0.3,0.00435,22.5222225189209,0.04440059142297795,16
sa,88,13.609375,13.265625,,3.9796875,,2.637361831148155e-06,0.3,0.0044,21.775650024414062,0.04592285414574704,16
sa,89,13.0625,13.59375,,4.078125,,2.6673315005609766e-06,0.3,0.00445,20.162702560424805,0.04959652591229472,16
sa,90,13.890625,13.4375,,4.03125,,2.697301169973798e-06,0.3,0.0045,20.09387969970703,0.04976639727840015,16
sa,91,13.5,13.140625,,3.9421874999999997,,2.727272658376023e-06,0.3,0.00455,21.789356231689453,0.04589396719053339,16
sa,92,13.421875,10.5625,,3.1687499999999997,,2.7572423277888447e-06,0.3,0.0046,21.793617248535156,0.04588499415200174,13
sa,93,14.21875,12.9375,,3.8812499999999996,,2.7872119972016662e-06,0.3,0.0046500000000000005,22.919544219970703,0.04363088508228975,16
sa,94,11.5625,11.9375,,3.58125,,2.8171816666144878e-06,0.3,0.0047,16.964345932006836,0.058947159177725084,14
sa,95,12.328125,13.1875,,3.95625,,2.8471513360273093e-06,0.3,0.004750000000000001,18.457298278808594,0.05417911033859877,16
sa,96,13.046875,13.421875,,4.0265625,,2.8771228244295344e-06,0.3,0.0048000000000000004,22.612375259399414,0.044223571762295265,16
sa,97,12.953125,13.171875,,3.9515624999999996,,2.907092493842356e-06,0.3,0.00485,21.76740074157715,0.04594025772171939,16
sa,98,11.875,11.484375,,3.4453125,,2.9370621632551774e-06,0.3,0.004900000000000001,18.550151824951172,0.053907914578625406,14
sa,99,12.0,11.296875,,3.3890625,,2.967031832667999e-06,0.3,0.00495,20.28672981262207,0.04929330696649868,14
sa,100,12.0,12.359375,,3.7078124999999997,,2.9970015020808205e-06,0.3,0.005000000000000001,18.333431243896484,0.05454516324285544,15
sa,101,12.21875,12.234375,,3.6703124999999996,,3.0269729904830456e-06,0.3,0.005050000000000001,22.91921615600586,0.04363150961155167,15
sa,102,11.734375,10.4296875,,3.12890625,,3.056942659895867e-06,0.3,0.0051,17.910614013671875,0.055832815069135025,13
sa,103,12.875,12.171875,,3.6515625,,3.0869123293086886e-06,0.3,0.00515,20.359609603881836,0.0491168553550917,15
sa,104,11.421875,11.515625,,3.4546875,,3.11688199872151e-06,0.3,0.0052,17.848495483398438,0.05602713130247521,14
sa,105,12.859375,13.390625,,4.0171874999999995,,3.1468516681343317e-06,0.3,0.00525,20.387958526611328,0.049048559653226326,16
sa,106,11.578125,13.0625,,3.9187499999999997,,3.1768231565365568e-06,0.3,0.0053,17.868976593017578,0.0559629139808016,16
